chrom,chromStart,chromEnd,name,score,strand,thickStart,thickEnd,itemRgb,blockCount,blockstart,blockSizes,blockStarts,blackend,start,end,Intron,severity
20063ref,3782,4100,JUNC00000079,94,-,3782,4100,255;0;0,2,150,150,0,168,3932,3950,18,1
20063ref,3944,4134,JUNC00000082,12,+,3944,4134,255;0;0,2,24,148,0,42,3968,3986,18,1
20063ref,4210,4406,JUNC00000090,11,-,4210,4406,255;0;0,2,29,149,0,47,4239,4257,18,1
20063ref,967,1283,JUNC00000020,12,+,967,1283,255;0;0,2,149,150,0,166,1116,1133,17,1
20063ref,5389,5706,JUNC00000120,1676,-,5389,5706,255;0;0,2,150,150,0,167,5539,5556,17,1
20063ref,7963,8279,JUNC00000179,581,-,7963,8279,255;0;0,2,149,150,0,166,8112,8129,17,1
20063ref,465,703,JUNC00000004,82,-,465,703,255;0;0,2,73,149,0,89,538,554,16,1
20063ref,2667,2841,JUNC00000060,19,-,2667,2841,255;0;0,2,149,9,0,165,2816,2832,16,1
20063ref,2697,3009,JUNC00000064,16,+,2697,3009,255;0;0,2,149,147,0,165,2846,2862,16,1
20063ref,2715,3030,JUNC00000065,53,+,2715,3030,255;0;0,2,150,149,0,166,2865,2881,16,1
20063ref,7728,8038,JUNC00000175,21,-,7728,8038,255;0;0,2,147,147,0,163,7875,7891,16,1
20063ref,8772,9079,JUNC00000184,68,-,8772,9079,255;0;0,2,145,146,0,161,8917,8933,16,1
20063ref,2327,2639,JUNC00000048,5,+,2327,2639,255;0;0,2,148,149,0,163,2475,2490,15,1
20063ref,2449,2763,JUNC00000054,11,+,2449,2763,255;0;0,2,149,150,0,164,2598,2613,15,1
20063ref,2685,2994,JUNC00000063,33,+,2685,2994,255;0;0,2,145,149,0,160,2830,2845,15,1
20063ref,5450,5764,JUNC00000122,19,-,5450,5764,255;0;0,2,150,149,0,165,5600,5615,15,1
20063ref,9989,10160,JUNC00000193,3,+,9989,10160,255;0;0,2,148,8,0,163,10137,10152,15,1
20063ref,2128,2293,JUNC00000040,1,+,2128,2293,255;0;0,2,8,143,0,22,2136,2150,14,1
20063ref,2656,2966,JUNC00000059,49,-,2656,2966,255;0;0,2,146,150,0,160,2802,2816,14,1
20063ref,4132,4420,JUNC00000095,20,+,4132,4420,255;0;0,2,125,149,0,139,4257,4271,14,1
20063ref,710,1020,JUNC00000013,150,+,710,1020,255;0;0,2,148,149,0,161,858,871,13,1
20063ref,2805,2989,JUNC00000062,6,+,2805,2989,255;0;0,2,22,149,0,35,2827,2840,13,1
20063ref,2362,2566,JUNC00000045,8,+,2362,2566,255;0;0,2,44,148,0,56,2406,2418,12,1
20063ref,5083,5250,JUNC00000117,65,+,5083,5250,255;0;0,2,8,147,0,20,5091,5103,12,1
20063ref,6968,7139,JUNC00000145,20,+,6968,7139,255;0;0,2,149,10,0,161,7117,7129,12,1
20063ref,1994,2296,JUNC00000039,13,+,1994,2296,255;0;0,2,142,149,0,153,2136,2147,11,1
20063ref,5972,6280,JUNC00000131,34,-,5972,6280,255;0;0,2,148,149,0,159,6120,6131,11,1
20063ref,9184,9494,JUNC00000188,13,-,9184,9494,255;0;0,2,149,150,0,160,9333,9344,11,1
20063ref,3974,4280,JUNC00000088,89,+,3974,4280,255;0;0,2,146,150,0,156,4120,4130,10,1
20063ref,4834,4995,JUNC00000111,1,-,4834,4995,255;0;0,2,9,142,0,19,4843,4853,10,1
20063ref,7241,7427,JUNC00000152,45,+,7241,7427,255;0;0,2,26,150,0,36,7267,7277,10,1
20063ref,7647,7808,JUNC00000168,6,+,7647,7808,255;0;0,2,42,109,0,52,7689,7699,10,1
20063ref,711,1013,JUNC00000012,72,-,711,1013,255;0;0,2,144,149,0,153,855,864,9,1
20063ref,1002,1210,JUNC00000023,60,-,1002,1210,255;0;0,2,148,52,0,156,1150,1158,8,1
20063ref,6820,7100,JUNC00000143,40,-,6820,7100,255;0;0,2,122,150,0,130,6942,6950,8,1
20063ref,7423,7729,JUNC00000158,14,-,7423,7729,255;0;0,2,150,148,0,158,7573,7581,8,1
20063ref,7444,7648,JUNC00000159,363,+,7444,7648,255;0;0,2,148,48,0,156,7592,7600,8,1
20063ref,7864,8071,JUNC00000176,171,+,7864,8071,255;0;0,2,50,149,0,58,7914,7922,8,1
20063ref,10118,10426,JUNC00000196,50,+,10118,10426,255;0;0,2,150,150,0,158,10268,10276,8,1
20063ref,822,1125,JUNC00000015,78,+,822,1125,255;0;0,2,147,149,0,154,969,976,7,1
20063ref,6367,6636,JUNC00000133,110,+,6367,6636,255;0;0,2,117,145,0,124,6484,6491,7,1
20063ref,7514,7817,JUNC00000162,5,-,7514,7817,255;0;0,2,146,150,0,153,7660,7667,7,1
20063ref,7531,7835,JUNC00000166,9,+,7531,7835,255;0;0,2,147,150,0,154,7678,7685,7,1
20063ref,7540,7845,JUNC00000167,18,+,7540,7845,255;0;0,2,149,149,0,156,7689,7696,7,1
20063ref,7729,8013,JUNC00000173,4,+,7729,8013,255;0;0,2,128,149,0,135,7857,7864,7,1
20063ref,8283,8588,JUNC00000181,862,+,8283,8588,255;0;0,2,148,150,0,155,8431,8438,7,1
20063ref,974,1247,JUNC00000021,3,+,974,1247,255;0;0,2,148,119,0,154,1122,1128,6,1
20063ref,3948,4252,JUNC00000087,7,-,3948,4252,255;0;0,2,149,149,0,155,4097,4103,6,1
20063ref,4235,4414,JUNC00000105,135,-,4235,4414,255;0;0,2,147,26,0,153,4382,4388,6,1
20063ref,5407,5713,JUNC00000121,284,-,5407,5713,255;0;0,2,150,150,0,156,5557,5563,6,1
20063ref,5729,6031,JUNC00000126,14,+,5729,6031,255;0;0,2,149,147,0,155,5878,5884,6,1
20063ref,6515,6819,JUNC00000137,4,+,6515,6819,255;0;0,2,149,149,0,155,6664,6670,6,1
20063ref,6602,6903,JUNC00000140,7,+,6602,6903,255;0;0,2,147,148,0,153,6749,6755,6,1
20063ref,1262,1555,JUNC00000026,4,+,1262,1555,255;0;0,2,149,139,0,154,1411,1416,5,1
20063ref,3050,3354,JUNC00000072,14,+,3050,3354,255;0;0,2,149,150,0,154,3199,3204,5,1
20063ref,6987,7291,JUNC00000147,90,+,6987,7291,255;0;0,2,150,149,0,155,7137,7142,5,1
20063ref,7127,7341,JUNC00000148,73,+,7127,7341,255;0;0,2,63,146,0,68,7190,7195,5,1
20063ref,7248,7426,JUNC00000153,6,+,7248,7426,255;0;0,2,24,149,0,29,7272,7277,5,1
20063ref,7423,7727,JUNC00000157,19,-,7423,7727,255;0;0,2,150,149,0,155,7573,7578,5,1
20063ref,7725,8027,JUNC00000174,19,-,7725,8027,255;0;0,2,150,147,0,155,7875,7880,5,1
20063ref,8813,9078,JUNC00000186,1817,+,8813,9078,255;0;0,2,110,150,0,115,8923,8928,5,1
23492ref2,819,1126,JUNC00000001,303,+,819,1126,255;0;0,2,150,150,0,157,969,976,7,1
23492ref2,819,1171,JUNC00000002,15,+,819,1171,255;0;0,2,150,149,0,203,969,1022,53,1
23492ref2,951,1166,JUNC00000003,5,-,951,1166,255;0;0,2,148,8,0,207,1099,1158,59,1
23492ref2,951,1236,JUNC00000004,265,-,951,1236,255;0;0,2,150,78,0,207,1101,1158,57,1
23492ref2,979,1167,JUNC00000005,18,-,979,1167,255;0;0,2,149,9,0,179,1128,1158,30,1
23492ref2,1003,1211,JUNC00000006,133,-,1003,1211,255;0;0,2,147,53,0,155,1150,1158,8,1
23492ref2,2615,2847,JUNC00000007,1,+,2615,2847,255;0;0,2,55,96,0,136,2670,2751,81,1
23492ref2,9478,9750,JUNC00000008,1,+,9478,9750,255;0;0,2,28,123,0,149,9506,9627,121,1
19622ref4,1161,9300,JUNC00000024,2,+,1161,9300,255;0;0,2,121,149,0,7990,1282,9151,7869,1
19622ref4,1265,8830,JUNC00000025,2,+,1265,8830,255;0;0,2,43,108,0,7457,1308,8722,7414,1
19622ref4,2839,9193,JUNC00000043,1,+,2839,9193,255;0;0,2,103,48,0,6306,2942,9145,6203,1
19622ref4,974,6219,JUNC00000018,467,+,974,6219,255;0;0,2,148,119,0,5126,1122,6100,4978,1
19622ref4,1278,6255,JUNC00000026,2,+,1278,6255,255;0;0,2,105,149,0,4828,1383,6106,4723,1
19622ref4,3654,7573,JUNC00000051,1,+,3654,7573,255;0;0,2,129,22,0,3897,3783,7551,3768,1
19622ref4,2653,6110,JUNC00000042,4,-,2653,6110,255;0;0,2,93,58,0,3399,2746,6052,3306,1
19622ref4,3953,7248,JUNC00000053,1,-,3953,7248,255;0;0,2,37,114,0,3181,3990,7134,3144,1
19622ref4,3126,6255,JUNC00000047,3,+,3126,6255,255;0;0,2,10,149,0,2980,3136,6106,2970,1
19622ref4,4707,7726,JUNC00000064,16,-,4707,7726,255;0;0,2,39,112,0,2907,4746,7614,2868,1
19622ref4,7293,10201,JUNC00000086,1,+,7293,10201,255;0;0,2,92,59,0,2849,7385,10142,2757,1
19622ref4,1071,3614,JUNC00000020,3,+,1071,3614,255;0;0,2,77,116,0,2427,1148,3498,2350,1
19622ref4,7692,10017,JUNC00000099,1,-,7692,10017,255;0;0,2,84,67,0,2258,7776,9950,2174,1
19622ref4,6108,8053,JUNC00000083,40,+,6108,8053,255;0;0,2,147,9,0,1936,6255,8044,1789,1
19622ref4,7999,9140,JUNC00000105,292,+,7999,9140,255;0;0,2,35,116,0,1025,8034,9024,990,1
19622ref4,7663,8789,JUNC00000094,1,+,7663,8789,255;0;0,2,36,115,0,1011,7699,8674,975,1
19622ref4,7911,8504,JUNC00000102,2,+,7911,8504,255;0;0,2,11,143,0,450,7922,8361,439,1
19622ref4,9490,10118,JUNC00000121,19,+,9490,10118,255;0;0,2,149,71,0,557,9639,10047,408,1
19622ref4,532,1060,JUNC00000006,2,+,532,1060,255;0;0,2,76,75,0,453,608,985,377,1
19622ref4,4617,5142,JUNC00000063,2,-,4617,5142,255;0;0,2,129,22,0,503,4746,5120,374,1
19622ref4,619,1141,JUNC00000007,13,+,619,1141,255;0;0,2,37,126,0,396,656,1015,359,1
19622ref4,6103,6728,JUNC00000081,3,+,6103,6728,255;0;0,2,146,124,0,501,6249,6604,355,1
19622ref4,8952,9455,JUNC00000115,3,+,8952,9455,255;0;0,2,135,20,0,483,9087,9435,348,1
19622ref4,543,1041,JUNC00000005,1,-,543,1041,255;0;0,2,24,127,0,371,567,914,347,1
19622ref4,5525,6089,JUNC00000075,7,-,5525,6089,255;0;0,2,148,71,0,493,5673,6018,345,1
19622ref4,550,1133,JUNC00000009,11,+,550,1133,255;0;0,2,124,118,0,465,674,1015,341,1
19622ref4,2394,3001,JUNC00000039,98,-,2394,3001,255;0;0,2,150,145,0,462,2544,2856,312,1
19622ref4,874,1452,JUNC00000015,29,+,874,1452,255;0;0,2,141,144,0,434,1015,1308,293,1
19622ref4,4237,4682,JUNC00000056,8,-,4237,4682,255;0;0,2,138,15,0,430,4375,4667,292,1
19622ref4,7378,7704,JUNC00000087,1,-,7378,7704,255;0;0,2,31,19,0,307,7409,7685,276,1
19622ref4,619,1133,JUNC00000010,28,+,619,1133,255;0;0,2,145,118,0,396,764,1015,251,1
19622ref4,9634,10029,JUNC00000122,1,+,9634,10029,255;0;0,2,115,36,0,359,9749,9993,244,1
19622ref4,4461,4846,JUNC00000060,1,+,4461,4846,255;0;0,2,45,106,0,279,4506,4740,234,1
19622ref4,4715,5235,JUNC00000067,4,-,4715,5235,255;0;0,2,148,148,0,372,4863,5087,224,1
19622ref4,1743,2050,JUNC00000030,4,-,1743,2050,255;0;0,2,8,76,0,231,1751,1974,223,1
19622ref4,1003,1394,JUNC00000019,6,+,1003,1394,255;0;0,2,145,33,0,358,1148,1361,213,1
19622ref4,8803,9282,JUNC00000112,6430,+,8803,9282,255;0;0,2,120,150,0,329,8923,9132,209,1
19622ref4,621,976,JUNC00000008,1,+,621,976,255;0;0,2,53,98,0,257,674,878,204,1
19622ref4,426,773,JUNC00000004,1,+,426,773,255;0;0,2,108,43,0,304,534,730,196,1
19622ref4,1330,1666,JUNC00000027,1,-,1330,1666,255;0;0,2,128,23,0,313,1458,1643,185,1
19622ref4,625,1096,JUNC00000011,124,-,625,1096,255;0;0,2,145,143,0,328,770,953,183,1
19622ref4,1709,2046,JUNC00000032,10,+,1709,2046,255;0;0,2,122,34,0,303,1831,2012,181,1
19622ref4,7939,8259,JUNC00000103,1,+,7939,8259,255;0;0,2,46,94,0,226,7985,8165,180,1
19622ref4,7582,8015,JUNC00000093,12,+,7582,8015,255;0;0,2,117,142,0,291,7699,7873,174,1
19622ref4,9094,9493,JUNC00000119,103,+,9094,9493,255;0;0,2,143,82,0,317,9237,9411,174,1
19622ref4,4066,4382,JUNC00000054,3,+,4066,4382,255;0;0,2,92,59,0,257,4158,4323,165,1
19622ref4,4581,4941,JUNC00000062,24,+,4581,4941,255;0;0,2,147,50,0,310,4728,4891,163,1
19622ref4,8869,9233,JUNC00000110,1756,+,8869,9233,255;0;0,2,52,150,0,214,8921,9083,162,1
19622ref4,5016,5474,JUNC00000071,54,+,5016,5474,255;0;0,2,148,150,0,308,5164,5324,160,1
19622ref4,7698,8035,JUNC00000095,6,+,7698,8035,255;0;0,2,33,150,0,187,7731,7885,154,1
19622ref4,7714,8019,JUNC00000096,1,-,7714,8019,255;0;0,2,38,113,0,192,7752,7906,154,1
19622ref4,8348,8634,JUNC00000107,1,+,8348,8634,255;0;0,2,98,34,0,252,8446,8600,154,1
19622ref4,8368,8663,JUNC00000108,818,+,8368,8663,255;0;0,2,149,9,0,286,8517,8654,137,1
19622ref4,4399,4730,JUNC00000061,7,-,4399,4730,255;0;0,2,133,63,0,268,4532,4667,135,1
19622ref4,1126,1527,JUNC00000023,10,+,1126,1527,255;0;0,2,144,125,0,276,1270,1402,132,1
19622ref4,3766,4006,JUNC00000052,2,-,3766,4006,255;0;0,2,93,22,0,218,3859,3984,125,1
19622ref4,481,754,JUNC00000003,1,+,481,754,255;0;0,2,53,98,0,175,534,656,122,1
19622ref4,7686,8016,JUNC00000098,4,-,7686,8016,255;0;0,2,90,125,0,205,7776,7891,115,1
19622ref4,1397,1648,JUNC00000028,1,+,1397,1648,255;0;0,2,68,83,0,168,1465,1565,100,1
19622ref4,7649,7896,JUNC00000097,1,-,7649,7896,255;0;0,2,111,39,0,208,7760,7857,97,1
19622ref4,9007,9315,JUNC00000117,52,+,9007,9315,255;0;0,2,149,63,0,245,9156,9252,96,1
19622ref4,2394,2781,JUNC00000038,89,-,2394,2781,255;0;0,2,150,145,0,242,2544,2636,92,1
19622ref4,8817,9200,JUNC00000113,5,-,8817,9200,255;0;0,2,148,146,0,237,8965,9054,89,1
19622ref4,1797,2034,JUNC00000031,2,-,1797,2034,255;0;0,2,29,122,0,115,1826,1912,86,1
19622ref4,463,699,JUNC00000002,1,+,463,699,255;0;0,2,71,80,0,156,534,619,85,1
19622ref4,4763,5078,JUNC00000066,4,-,4763,5078,255;0;0,2,82,148,0,167,4845,4930,85,1
19622ref4,1638,1872,JUNC00000029,1,+,1638,1872,255;0;0,2,59,92,0,142,1697,1780,83,1
19622ref4,8906,9022,JUNC00000109,1,+,8906,9022,255;0;0,2,9,25,0,91,8915,8997,82,1
19622ref4,5825,6200,JUNC00000077,20,-,5825,6200,255;0;0,2,147,148,0,227,5972,6052,80,1
19622ref4,4883,5131,JUNC00000070,3,+,4883,5131,255;0;0,2,149,24,0,224,5032,5107,75,1
19622ref4,1785,2009,JUNC00000033,1,+,1785,2009,255;0;0,2,114,37,0,187,1899,1972,73,1
19622ref4,2858,3079,JUNC00000045,1,-,2858,3079,255;0;0,2,114,37,0,184,2972,3042,70,1
19622ref4,9000,9244,JUNC00000114,59,+,9000,9244,255;0;0,2,30,144,0,100,9030,9100,70,1
19622ref4,7362,7727,JUNC00000088,178,-,7362,7727,255;0;0,2,149,149,0,216,7511,7578,67,1
19622ref4,4857,4987,JUNC00000068,2,-,4857,4987,255;0;0,2,22,43,0,87,4879,4944,65,1
19622ref4,2526,2628,JUNC00000037,1,+,2526,2628,255;0;0,2,17,22,0,80,2543,2606,63,1
19622ref4,4785,4909,JUNC00000065,2,-,4785,4909,255;0;0,2,40,23,0,101,4825,4886,61,1
19622ref4,4322,4533,JUNC00000058,2,-,4322,4533,255;0;0,2,115,36,0,175,4437,4497,60,1
19622ref4,4444,4695,JUNC00000059,35,-,4444,4695,255;0;0,2,53,140,0,111,4497,4555,58,1
19622ref4,955,1214,JUNC00000016,1096,-,955,1214,255;0;0,2,146,56,0,203,1101,1158,57,1
19622ref4,5844,6052,JUNC00000076,2,+,5844,6052,255;0;0,2,121,30,0,178,5965,6022,57,1
19622ref4,9264,9472,JUNC00000120,1,+,9264,9472,255;0;0,2,114,37,0,171,9378,9435,57,1
19622ref4,825,1169,JUNC00000014,32,+,825,1169,255;0;0,2,144,147,0,197,969,1022,53,1
19622ref4,4957,5155,JUNC00000069,1,-,4957,5155,255;0;0,2,8,143,0,55,4965,5012,47,1
19622ref4,2567,2638,JUNC00000040,1,+,2567,2638,255;0;0,2,22,9,0,62,2589,2629,40,1
19622ref4,7510,7777,JUNC00000091,6,+,7510,7777,255;0;0,2,150,81,0,186,7660,7696,36,1
19622ref4,2948,3136,JUNC00000044,8,+,2948,3136,255;0;0,2,8,147,0,41,2956,2989,33,1
19622ref4,5511,5779,JUNC00000073,119,-,5511,5779,255;0;0,2,89,146,0,122,5600,5633,33,1
19622ref4,729,944,JUNC00000012,6,+,729,944,255;0;0,2,149,34,0,181,878,910,32,1
19622ref4,2425,2608,JUNC00000036,2,-,2425,2608,255;0;0,2,8,144,0,39,2433,2464,31,1
19622ref4,7468,7699,JUNC00000090,7,+,7468,7699,255;0;0,2,148,52,0,179,7616,7647,31,1
19622ref4,5594,5652,JUNC00000074,1,-,5594,5652,255;0;0,2,10,19,0,39,5604,5633,29,1
19622ref4,6106,6432,JUNC00000082,6,+,6106,6432,255;0;0,2,149,148,0,178,6255,6284,29,1
19622ref4,7871,8053,JUNC00000104,11,+,7871,8053,255;0;0,2,144,9,0,173,8015,8044,29,1
19622ref4,3024,3351,JUNC00000049,322,-,3024,3351,255;0;0,2,149,150,0,177,3173,3201,28,1
19622ref4,3154,3433,JUNC00000050,749,-,3154,3433,255;0;0,2,103,149,0,130,3257,3284,27,1
19622ref4,7383,7565,JUNC00000089,5,-,7383,7565,255;0;0,2,147,9,0,173,7530,7556,26,1
19622ref4,3023,3211,JUNC00000048,67,+,3023,3211,255;0;0,2,148,15,0,173,3171,3196,25,1
19622ref4,2916,3159,JUNC00000046,2,-,2916,3159,255;0;0,2,149,72,0,171,3065,3087,22,1
19622ref4,7820,7990,JUNC00000101,1,-,7820,7990,255;0;0,2,96,55,0,115,7916,7935,19,1
19622ref4,1042,1211,JUNC00000022,1,-,1042,1211,255;0;0,2,132,19,0,150,1174,1192,18,1
19622ref4,6042,6212,JUNC00000078,344,+,6042,6212,255;0;0,2,8,146,0,24,6050,6066,16,1
19622ref4,7541,7848,JUNC00000092,3,-,7541,7848,255;0;0,2,144,147,0,160,7685,7701,16,1
19622ref4,2475,2641,JUNC00000041,1,+,2475,2641,255;0;0,2,139,12,0,154,2614,2629,15,1
19622ref4,1983,2292,JUNC00000034,2,+,1983,2292,255;0;0,2,148,147,0,162,2131,2145,14,1
19622ref4,4183,4418,JUNC00000055,39,+,4183,4418,255;0;0,2,74,147,0,88,4257,4271,14,1
19622ref4,6023,6329,JUNC00000079,5,+,6023,6329,255;0;0,2,145,148,0,158,6168,6181,13,1
19622ref4,8988,9295,JUNC00000116,2,+,8988,9295,255;0;0,2,148,147,0,160,9136,9148,12,1
19622ref4,2112,2166,JUNC00000035,2,+,2112,2166,255;0;0,2,24,19,0,35,2136,2147,11,1
19622ref4,6256,6417,JUNC00000084,2,-,6256,6417,255;0;0,2,64,87,0,74,6320,6330,10,1
19622ref4,9031,9196,JUNC00000118,5,+,9031,9196,255;0;0,2,148,8,0,157,9179,9188,9,1
19622ref4,1002,1231,JUNC00000021,1022,-,1002,1231,255;0;0,2,148,73,0,156,1150,1158,8,1
19622ref4,824,1126,JUNC00000013,1008,+,824,1126,255;0;0,2,145,150,0,152,969,976,7,1
19622ref4,8284,8586,JUNC00000106,3,+,8284,8586,255;0;0,2,147,148,0,154,8431,8438,7,1
19622ref4,304,424,JUNC00000001,2,+,304,424,255;0;0,2,40,74,0,46,344,350,6,1
19622ref4,976,1270,JUNC00000017,13,+,976,1270,255;0;0,2,146,142,0,152,1122,1128,6,1
19622ref4,4235,4432,JUNC00000057,283,-,4235,4432,255;0;0,2,147,44,0,153,4382,4388,6,1
19622ref4,5115,5344,JUNC00000072,251,+,5115,5344,255;0;0,2,150,73,0,156,5265,5271,6,1
19622ref4,6071,6233,JUNC00000080,8,+,6071,6233,255;0;0,2,148,8,0,154,6219,6225,6,1
19622ref4,6987,7246,JUNC00000085,6,+,6987,7246,255;0;0,2,150,104,0,155,7137,7142,5,1
19622ref4,7726,7905,JUNC00000100,8,-,7726,7905,255;0;0,2,149,25,0,154,7875,7880,5,1
19622ref4,8802,9078,JUNC00000111,36672,+,8802,9078,255;0;0,2,121,150,0,126,8923,8928,5,1
21321ref,1233,9307,JUNC00000037,4,-,1233,9307,255;0;0,2,90,91,0,7983,1323,9216,7893,1
21321ref,323,8052,JUNC00000003,3,+,323,8052,255;0;0,2,148,45,0,7684,471,8007,7536,1
21321ref,717,7565,JUNC00000019,5,-,717,7565,255;0;0,2,143,9,0,6839,860,7556,6696,1
21321ref,2659,9343,JUNC00000074,6,+,2659,9343,255;0;0,2,147,113,0,6571,2806,9230,6424,1
21321ref,3674,9663,JUNC00000084,9,+,3674,9663,255;0;0,2,8,148,0,5841,3682,9515,5833,1
21321ref,2168,8017,JUNC00000063,10,+,2168,8017,255;0;0,2,142,10,0,5839,2310,8007,5697,1
21321ref,933,6514,JUNC00000028,52,+,933,6514,255;0;0,2,150,150,0,5431,1083,6364,5281,1
21321ref,2738,8140,JUNC00000076,3,+,2738,8140,255;0;0,2,85,146,0,5256,2823,7994,5171,1
21321ref,2689,7538,JUNC00000072,1,+,2689,7538,255;0;0,2,82,69,0,4780,2771,7469,4698,1
21321ref,4578,9075,JUNC00000099,16,+,4578,9075,255;0;0,2,146,147,0,4350,4724,8928,4204,1
21321ref,2660,6785,JUNC00000073,60,+,2660,6785,255;0;0,2,146,115,0,4010,2806,6670,3864,1
21321ref,6602,10441,JUNC00000127,13,+,6602,10441,255;0;0,2,147,150,0,3689,6749,10291,3542,1
21321ref,2530,6018,JUNC00000071,2,-,2530,6018,255;0;0,2,145,19,0,3469,2675,5999,3324,1
21321ref,2857,6241,JUNC00000079,20106,-,2857,6241,255;0;0,2,103,148,0,3236,2960,6093,3133,1
21321ref,5907,9179,JUNC00000115,7,-,5907,9179,255;0;0,2,65,147,0,3125,5972,9032,3060,1
21321ref,4230,6193,JUNC00000093,3,-,4230,6193,255;0;0,2,145,149,0,1814,4375,6044,1669,1
21321ref,1836,2861,JUNC00000057,1,-,1836,2861,255;0;0,2,138,13,0,1012,1974,2848,874,1
21321ref,9519,10164,JUNC00000182,7,+,9519,10164,255;0;0,2,146,9,0,636,9665,10155,490,1
21321ref,2239,2991,JUNC00000065,9,+,2239,2991,255;0;0,2,149,149,0,603,2388,2842,454,1
21321ref,523,1169,JUNC00000006,11,+,523,1169,255;0;0,2,46,147,0,499,569,1022,453,1
21321ref,7347,7937,JUNC00000138,4,-,7347,7937,255;0;0,2,142,62,0,528,7489,7875,386,1
21321ref,9568,10138,JUNC00000180,19,+,9568,10138,255;0;0,2,50,145,0,425,9618,9993,375,1
21321ref,4619,5121,JUNC00000102,2,+,4619,5121,255;0;0,2,146,8,0,494,4765,5113,348,1
21321ref,7278,7770,JUNC00000134,126,-,7278,7770,255;0;0,2,9,145,0,347,7287,7625,338,1
21321ref,3854,4477,JUNC00000086,2,+,3854,4477,255;0;0,2,145,148,0,475,3999,4329,330,1
21321ref,5728,6215,JUNC00000110,134,+,5728,6215,255;0;0,2,8,149,0,338,5736,6066,330,1
21321ref,871,1453,JUNC00000026,19,+,871,1453,255;0;0,2,144,145,0,437,1015,1308,293,1
21321ref,7549,8012,JUNC00000148,71,+,7549,8012,255;0;0,2,150,26,0,437,7699,7986,287,1
21321ref,1660,2001,JUNC00000048,1,-,1660,2001,255;0;0,2,29,27,0,314,1689,1974,285,1
21321ref,2044,2617,JUNC00000060,4,-,2044,2617,255;0;0,2,147,148,0,425,2191,2469,278,1
21321ref,626,1054,JUNC00000011,1,+,626,1054,255;0;0,2,112,39,0,389,738,1015,277,1
21321ref,7312,7734,JUNC00000136,2,+,7312,7734,255;0;0,2,10,144,0,278,7322,7590,268,1
21321ref,7101,7505,JUNC00000132,2,+,7101,7505,255;0;0,2,73,72,0,332,7174,7433,259,1
21321ref,9732,10138,JUNC00000184,1,-,9732,10138,255;0;0,2,94,57,0,349,9826,10081,255,1
21321ref,2702,3110,JUNC00000078,44,+,2702,3110,255;0;0,2,146,8,0,400,2848,3102,254,1
21321ref,703,1133,JUNC00000014,20,+,703,1133,255;0;0,2,61,118,0,312,764,1015,251,1
21321ref,7313,7710,JUNC00000135,2,+,7313,7710,255;0;0,2,9,142,0,255,7322,7568,246,1
21321ref,9225,9645,JUNC00000179,18,+,9225,9645,255;0;0,2,117,60,0,360,9342,9585,243,1
21321ref,5299,5681,JUNC00000107,1,+,5299,5681,255;0;0,2,101,50,0,332,5400,5631,231,1
21321ref,7112,7627,JUNC00000133,16,-,7112,7627,255;0;0,2,149,149,0,366,7261,7478,217,1
21321ref,2434,2946,JUNC00000069,6,+,2434,2946,255;0;0,2,150,146,0,366,2584,2800,216,1
21321ref,6604,6939,JUNC00000125,2,+,6604,6939,255;0;0,2,98,36,0,299,6702,6903,201,1
21321ref,748,1104,JUNC00000015,12,+,748,1104,255;0;0,2,20,138,0,218,768,966,198,1
21321ref,6576,6935,JUNC00000126,2,+,6576,6935,255;0;0,2,144,23,0,336,6720,6912,192,1
21321ref,9810,10153,JUNC00000186,1,-,9810,10153,255;0;0,2,140,11,0,332,9950,10142,192,1
21321ref,8733,9074,JUNC00000164,1,+,8733,9074,255;0;0,2,54,97,0,244,8787,8977,190,1
21321ref,7647,8128,JUNC00000151,2,+,7647,8128,255;0;0,2,150,147,0,334,7797,7981,184,1
21321ref,609,1088,JUNC00000013,19,-,609,1088,255;0;0,2,148,148,0,331,757,940,183,1
21321ref,625,982,JUNC00000016,109,-,625,982,255;0;0,2,145,29,0,328,770,953,183,1
21321ref,6902,7294,JUNC00000131,2,+,6902,7294,255;0;0,2,64,146,0,246,6966,7148,182,1
21321ref,1290,1626,JUNC00000043,20,+,1290,1626,255;0;0,2,148,8,0,328,1438,1618,180,1
21321ref,2995,3398,JUNC00000080,77,+,2995,3398,255;0;0,2,77,149,0,254,3072,3249,177,1
21321ref,7573,8015,JUNC00000147,6,+,7573,8015,255;0;0,2,126,142,0,300,7699,7873,174,1
21321ref,1027,1401,JUNC00000035,2,-,1027,1401,255;0;0,2,147,54,0,320,1174,1347,173,1
21321ref,701,1065,JUNC00000018,10,+,701,1065,255;0;0,2,142,50,0,314,843,1015,172,1
21321ref,8430,8749,JUNC00000161,2,+,8430,8749,255;0;0,2,8,143,0,176,8438,8606,168,1
21321ref,7320,7699,JUNC00000137,5,+,7320,7699,255;0;0,2,65,148,0,231,7385,7551,166,1
21321ref,8844,9233,JUNC00000167,5894,+,8844,9233,255;0;0,2,77,150,0,239,8921,9083,162,1
21321ref,526,837,JUNC00000005,7,+,526,837,255;0;0,2,8,143,0,168,534,694,160,1
21321ref,5016,5474,JUNC00000105,64,+,5016,5474,255;0;0,2,148,150,0,308,5164,5324,160,1
21321ref,118,512,JUNC00000001,3,+,118,512,255;0;0,2,88,147,0,247,206,365,159,1
